Name,Level,Class,Race,Type
a_thought_leech_spiriter15,48,Necromancer,Thought Horror,NPC
a_shrieker64,50,Warrior,Shrieker,NPC
a_shrieker63,51,Warrior,Shrieker,NPC
a_shrieker62,51,Warrior,Shrieker,NPC
an_elder_thought_horror12,62,Warrior,Thought Horror,NPC
a_shrieker61,50,Warrior,Shrieker,NPC
an_enthralled_outcast18,49,Warrior,Wretch,NPC
a_thought_horror_evoker25,51,Wizard,Thought Horror,NPC
a_young_thought_leech16,51,Warrior,Thought Horror,NPC
a_thought_leech_evoker10,50,Wizard,Thought Horror,NPC
a_shrieker60,51,Warrior,Shrieker,NPC
an_ancient_shrieker06,51,Warrior,Shrieker,NPC
a_shrieker79,49,Warrior,Shrieker,NPC
a_shrieker59,49,Warrior,Shrieker,NPC
a_thought_leech_evoker14,50,Wizard,Thought Horror,NPC
a_shrieker58,50,Warrior,Shrieker,NPC
a_young_thought_leech27,50,Warrior,Thought Horror,NPC
a_shrieker57,51,Warrior,Shrieker,NPC
a_thought_leech_evoker09,51,Wizard,Thought Horror,NPC
a_thought_leech_evoker08,49,Wizard,Thought Horror,NPC
a_thought_leech_spiriter14,48,Necromancer,Thought Horror,NPC
a_young_thought_leech30,49,Warrior,Thought Horror,NPC
a_thought_leech_evoker15,50,Wizard,Thought Horror,NPC
a_young_thought_leech21,48,Warrior,Thought Horror,NPC
a_thought_horror_spiriter12,51,Necromancer,Thought Horror,NPC
a_young_thought_leech08,47,Warrior,Thought Horror,NPC
a_thought_leech_spiriter02,48,Necromancer,Thought Horror,NPC
a_horror_guard22,53,Warrior,Thought Horror,NPC
an_ancient_shrieker12,52,Warrior,Shrieker,NPC
a_thought_horror_spiriter11,54,Necromancer,Thought Horror,NPC
a_shrieker78,49,Warrior,Shrieker,NPC
a_shrieker77,49,Warrior,Shrieker,NPC
an_Enthralled_Razorfiend13,50,Warrior,Fungal Fiend,NPC
a_shrieker76,49,Warrior,Shrieker,NPC
an_Enthralled_Razorfiend12,49,Warrior,Fungal Fiend,NPC
a_shrieker75,49,Warrior,Shrieker,NPC
a_thought_horror_spiriter23,53,Necromancer,Thought Horror,NPC
a_horror_guard19,52,Warrior,Thought Horror,NPC
a_shrieker70,51,Warrior,Shrieker,NPC
an_enthralled_outcast17,49,Warrior,Wretch,NPC
a_thought_horror_evoker02,50,Wizard,Thought Horror,NPC
Grigor_Rojha00,75,Warrior,Erudite,NPC
a_thought_horror_evoker08,54,Wizard,Thought Horror,NPC
an_enthralled_outcast16,49,Warrior,Wretch,NPC
an_enthralled_outcast15,48,Warrior,Wretch,NPC
an_elder_thought_horror04,61,Warrior,Thought Horror,NPC
a_thought_horror_spiriter08,50,Necromancer,Thought Horror,NPC
an_Enthralled_Razorfiend19,48,Warrior,Fungal Fiend,NPC
a_horror_guard00,52,Warrior,Thought Horror,NPC
a_shrieker16,49,Warrior,Shrieker,NPC
an_Enthralled_Razorfiend27,48,Warrior,Fungal Fiend,NPC
a_thought_horror_spiriter22,54,Necromancer,Thought Horror,NPC
a_horror_guard29,52,Warrior,Thought Horror,NPC
an_ancient_shrieker05,54,Warrior,Shrieker,NPC
an_enthralled_outcast24,53,Warrior,Wretch,NPC
an_Enthralled_Underbulk32,51,Warrior,Underbulk,NPC
a_horror_guard27,52,Warrior,Thought Horror,NPC
an_ancient_shrieker03,51,Warrior,Shrieker,NPC
a_thought_horror_evoker05,52,Wizard,Thought Horror,NPC
an_Enthralled_Razorfiend26,49,Warrior,Fungal Fiend,NPC
an_Enthralled_Razorfiend23,55,Warrior,Fungal Fiend,NPC
an_Enthralled_Underbulk31,53,Warrior,Underbulk,NPC
an_Enthralled_Underbulk30,55,Warrior,Underbulk,NPC
an_Enthralled_Underbulk29,55,Warrior,Underbulk,NPC
a_thought_horror_spiriter21,51,Necromancer,Thought Horror,NPC
an_ancient_shrieker02,53,Warrior,Shrieker,NPC
an_Enthralled_Underbulk17,53,Warrior,Underbulk,NPC
an_Enthralled_Underbulk02,47,Warrior,Underbulk,NPC
an_Enthralled_Razorfiend25,50,Warrior,Fungal Fiend,NPC
a_thought_horror_evoker00,52,Wizard,Thought Horror,NPC
a_thought_horror_spiriter10,50,Necromancer,Thought Horror,NPC
a_shrieker69,49,Warrior,Shrieker,NPC
a_shrieker68,51,Warrior,Shrieker,NPC
a_thought_horror_evoker07,51,Wizard,Thought Horror,NPC
a_shrieker41,49,Warrior,Shrieker,NPC
a_thought_leech_evoker18,50,Wizard,Thought Horror,NPC
a_thought_leech_evoker17,51,Wizard,Thought Horror,NPC
a_thought_horror_spiriter29,52,Necromancer,Thought Horror,NPC
a_thought_horror_spiriter07,52,Necromancer,Thought Horror,NPC
a_thought_horror_spiriter28,51,Necromancer,Thought Horror,NPC
a_young_thought_leech29,49,Warrior,Thought Horror,NPC
a_thought_horror_evoker33,50,Wizard,Thought Horror,NPC
an_Enthralled_Razorfiend21,50,Warrior,Fungal Fiend,NPC
a_shrieker72,51,Warrior,Shrieker,NPC
