Name,Level,Class,Race,Type
The_sand80,1,Warrior,Ground Shaker,NPC
The_sand11,1,Warrior,Ground Shaker,NPC
The_sand79,1,Warrior,Ground Shaker,NPC
The_sand78,1,Warrior,Ground Shaker,NPC
The_sand77,1,Warrior,Ground Shaker,NPC
The_sand76,1,Warrior,Ground Shaker,NPC
The_sand74,1,Warrior,Ground Shaker,NPC
The_sand73,1,Warrior,Ground Shaker,NPC
The_sand71,1,Warrior,Ground Shaker,NPC
The_sand70,1,Warrior,Ground Shaker,NPC
The_sand69,1,Warrior,Ground Shaker,NPC
The_sand68,1,Warrior,Ground Shaker,NPC
The_sand67,1,Warrior,Ground Shaker,NPC
The_sand64,1,Warrior,Ground Shaker,NPC
a_forgotten_slave03,42,Warrior,Iksar Skeleton,NPC
a_forgotten_slave02,40,Warrior,Iksar Skeleton,NPC
The_sand62,1,Warrior,Ground Shaker,NPC
a_Shissar_Revenant07,44,Warrior,Shissar,NPC
The_sand60,1,Warrior,Ground Shaker,NPC
a_forgotten_slave18,42,Warrior,Iksar Skeleton,NPC
a_forlorn_slave10,45,Warrior,Iksar Skeleton,NPC
a_forgotten_slave17,40,Warrior,Iksar Skeleton,NPC
a_forlorn_slave09,47,Warrior,Iksar Skeleton,NPC
a_forlorn_slave08,44,Warrior,Iksar Skeleton,NPC
a_forgotten_slave15,42,Warrior,Iksar Skeleton,NPC
a_forgotten_slave14,41,Warrior,Iksar Skeleton,NPC
The_sand56,1,Warrior,Ground Shaker,NPC
The_sand55,1,Warrior,Ground Shaker,NPC
The_sand54,1,Warrior,Ground Shaker,NPC
The_sand53,1,Warrior,Ground Shaker,NPC
The_sand52,1,Warrior,Ground Shaker,NPC
The_sand51,1,Warrior,Ground Shaker,NPC
The_sand29,1,Warrior,Ground Shaker,NPC
a_timeless_golem46,46,Warrior,Iksar Golem,NPC
a_timeless_golem45,45,Warrior,Iksar Golem,NPC
an_undying_iksar07,49,Warrior,Iksar Skeleton,NPC
a_Shissar_Stalker00,43,Warrior,Shissar,NPC
The_sand47,1,Warrior,Ground Shaker,NPC
The_sand45,1,Warrior,Ground Shaker,NPC
The_sand44,1,Warrior,Ground Shaker,NPC
The_sand43,1,Warrior,Ground Shaker,NPC
The_sand42,1,Warrior,Ground Shaker,NPC
a_forgotten_slave12,42,Warrior,Iksar Skeleton,NPC
a_forgotten_slave11,41,Warrior,Iksar Skeleton,NPC
a_forlorn_slave06,43,Warrior,Iksar Skeleton,NPC
a_forgotten_slave09,40,Warrior,Iksar Skeleton,NPC
The_sand40,1,Warrior,Ground Shaker,NPC
The_sand39,1,Warrior,Ground Shaker,NPC
The_sand38,1,Warrior,Ground Shaker,NPC
The_sand37,1,Warrior,Ground Shaker,NPC
The_sand36,1,Warrior,Ground Shaker,NPC
The_sand35,1,Warrior,Ground Shaker,NPC
The_sand34,1,Warrior,Ground Shaker,NPC
The_sand33,1,Warrior,Ground Shaker,NPC
The_sand31,1,Warrior,Ground Shaker,NPC
The_sand30,1,Warrior,Ground Shaker,NPC
The_sand27,1,Warrior,Ground Shaker,NPC
The_sand26,1,Warrior,Ground Shaker,NPC
a_Shissar_Stalker12,45,Warrior,Shissar,NPC
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
The_sand98,1,Warrior,Ground Shaker,NPC
a_timeless_golem25,43,Warrior,Iksar Golem,NPC
a_Shissar_Stalker10,44,Warrior,Shissar,NPC
a_timeless_golem24,43,Warrior,Iksar Golem,NPC
a_timeless_golem23,45,Warrior,Iksar Golem,NPC
The_sand72,1,Warrior,Ground Shaker,NPC
a_timeless_golem22,46,Warrior,Iksar Golem,NPC
a_timeless_golem20,46,Warrior,Iksar Golem,NPC
a_timeless_golem19,46,Warrior,Iksar Golem,NPC
a_Shissar_Stalker09,44,Warrior,Shissar,NPC
a_shimmering_rockfiend04,50,Warrior,Stonegrabber,NPC
a_timeless_golem18,47,Warrior,Iksar Golem,NPC
a_Shissar_Stalker08,45,Warrior,Shissar,NPC
a_timeless_golem17,46,Warrior,Iksar Golem,NPC
a_timeless_golem16,44,Warrior,Iksar Golem,NPC
a_Shissar_Stalker07,43,Warrior,Shissar,NPC
a_timeless_golem15,46,Warrior,Iksar Golem,NPC
a_timeless_golem14,44,Warrior,Iksar Golem,NPC
a_timeless_golem13,45,Warrior,Iksar Golem,NPC
a_timeless_golem12,43,Warrior,Iksar Golem,NPC
a_timeless_golem11,44,Warrior,Iksar Golem,NPC
a_timeless_golem10,43,Warrior,Iksar Golem,NPC
a_timeless_golem09,43,Warrior,Iksar Golem,NPC
a_Shissar_Stalker05,45,Warrior,Shissar,NPC
a_timeless_golem08,43,Warrior,Iksar Golem,NPC
a_timeless_golem07,47,Warrior,Iksar Golem,NPC
a_timeless_golem04,46,Warrior,Iksar Golem,NPC
a_timeless_golem03,46,Warrior,Iksar Golem,NPC
a_timeless_golem02,46,Warrior,Iksar Golem,NPC
a_timeless_golem01,43,Warrior,Iksar Golem,NPC
a_Shissar_Stalker01,43,Warrior,Shissar,NPC
a_timeless_golem00,47,Warrior,Iksar Golem,NPC
Scout_Tovi00,1,Warrior,Dark Elf,NPC
The_sand24,1,Warrior,Ground Shaker,NPC
The_sand23,1,Warrior,Ground Shaker,NPC
The_sand22,1,Warrior,Ground Shaker,NPC
The_sand21,1,Warrior,Ground Shaker,NPC
a_shimmering_rockfiend10,50,Warrior,Stonegrabber,NPC
an_iksar_slave17,43,Warrior,Iksar Skeleton,NPC
The_sand18,1,Warrior,Ground Shaker,NPC
The_sand17,1,Warrior,Ground Shaker,NPC
an_iksar_slave15,45,Warrior,Iksar Skeleton,NPC
an_iksar_slave14,47,Warrior,Iksar Skeleton,NPC
