Name,Level,Class,Race,Type
Utilman100,1,Warrior,Human,NPC
Battlepriest_Daragor00,46,Paladin,Coldain,NPC
Warpriest_Penatain00,43,Paladin GM,Coldain,NPC
Templar_Tingar00,38,Warrior,Coldain,NPC
Initiate_Halagin00,34,Warrior,Coldain,NPC
Initiate_Goridam00,34,Warrior,Coldain,NPC
Initiate_Kroskain00,31,Warrior,Coldain,NPC
Templar_Franchus00,38,Warrior,Coldain,NPC
Initiate_Corrith00,35,Warrior,Coldain,NPC
a_lesser_tar_goo05,29,Warrior,Goo,NPC
a_crystal_spider03,30,Warrior,Spider,NPC
a_scuttle_bat02,28,Warrior,Bat,NPC
a_lesser_tar_goo04,32,Warrior,Goo,NPC
a_scuttle_bat01,28,Warrior,Bat,NPC
a_lesser_tar_goo03,29,Warrior,Goo,NPC
Initiate_Sircthain00,33,Warrior,Coldain,NPC
a_crystal_spider02,31,Warrior,Spider,NPC
a_scuttle_rat02,30,Warrior,Rat,NPC
a_scuttle_bat00,30,Warrior,Bat,NPC
a_crystal_spider01,28,Warrior,Spider,NPC
a_crystal_spider00,31,Warrior,Spider,NPC
Belinda00,36,Warrior,Coldain,NPC
Denise00,36,Warrior,Coldain,NPC
Kier00,32,Warrior,Coldain,NPC
Celtir_Gronback00,35,Shopkeeper,Coldain,NPC
Grimthor_Brewbeard00,43,Warrior,Coldain,NPC
Normon_Stonetooth00,40,Warrior,Coldain,NPC
Zrelik_the_Scout00,45,Rogue,Coldain,NPC
Churn_the_Axeman00,45,Warrior,Coldain,NPC
Kargin_the_Archer00,45,Warrior,Coldain,NPC
Loremaster_Kels00,43,Cleric,Coldain,NPC
Schmit_Icepike00,41,Warrior,Coldain,NPC
Fradin00,34,Warrior,Coldain,NPC
a_scuttle_rat01,28,Warrior,Rat,NPC
Klarp_Bartleby00,35,Shopkeeper,Coldain,NPC
Bixx_Bartleby00,35,Shopkeeper,Coldain,NPC
Jinx00,34,Warrior,Coldain,NPC
Hason_Klolp00,36,Warrior,Coldain,NPC
Girk_Glacierbane00,40,Warrior,Coldain,NPC
a_direwolf_pup04,24,Warrior,Ancient Wolf,NPC
a_direwolf_pup03,24,Warrior,Ancient Wolf,NPC
a_direwolf_pup02,24,Warrior,Ancient Wolf,NPC
a_direwolf_pup01,24,Warrior,Ancient Wolf,NPC
a_direwolf_pup00,24,Warrior,Ancient Wolf,NPC
Pearce_Icefang00,42,Beastlord,Coldain,NPC
Mandla_Klolp00,34,Warrior,Coldain,NPC
Fergus_Sawdust00,36,Warrior,Coldain,NPC
Jeril_Kettletop00,34,Shopkeeper,Coldain,NPC
Seril_Kettletop00,33,Shopkeeper,Coldain,NPC
Elder_Reevis00,39,Cleric,Coldain,NPC
Thermin_Wandereye00,32,Warrior,Coldain,NPC
Dorin_Amberfeld00,37,Warrior,Coldain,NPC
Lieutenant_Bythgar00,43,Warrior,Coldain,NPC
Guard_Suuna00,38,Warrior,Coldain,NPC
