Name,Level,Class,Race,Type
Frosticube06,52,Warrior,Gelatinous Cube,NPC
The_Fabled_Grizznot00,70,Warrior,Ulthork,NPC
The_Fabled_Dain_Frostreaver_IV,75,Warrior,Coldain,NPC
Dain`s_Historian_Duggans00,60,Paladin,Coldain,NPC
Royal_Armorer_Slade00,49,Warrior,Coldain,NPC
Coldain_Outcast02,30,Shopkeeper,Coldain,NPC
Coldain_Outcast01,30,Shopkeeper,Coldain,NPC
Coldain_Outcast00,30,Shopkeeper,Coldain,NPC
Frosticube05,53,Warrior,Gelatinous Cube,NPC
an_avalanche_golem03,53,Warrior,Golem,NPC
an_avalanche_golem02,54,Warrior,Golem,NPC
a_frost_spike06,55,Warrior,Tentacle Terror,NPC
a_Coldain_skeleton06,48,Warrior,Ancient Skeleton,NPC
a_frost_spike05,51,Warrior,Tentacle Terror,NPC
a_frost_spike04,54,Warrior,Tentacle Terror,NPC
a_Coldain_skeleton05,50,Warrior,Ancient Skeleton,NPC
a_Coldain_skeleton04,50,Warrior,Ancient Skeleton,NPC
Frosticube04,54,Warrior,Gelatinous Cube,NPC
Frosticube03,54,Warrior,Gelatinous Cube,NPC
a_frost_spike03,52,Warrior,Tentacle Terror,NPC
an_avalanche_golem01,53,Warrior,Golem,NPC
Frosticube02,51,Warrior,Gelatinous Cube,NPC
a_Coldain_skeleton03,49,Warrior,Ancient Skeleton,NPC
a_Coldain_skeleton02,50,Warrior,Ancient Skeleton,NPC
a_Coldain_skeleton01,51,Warrior,Ancient Skeleton,NPC
a_Coldain_skeleton00,52,Warrior,Ancient Skeleton,NPC
Frosticube01,51,Warrior,Gelatinous Cube,NPC
a_frost_spike02,55,Warrior,Tentacle Terror,NPC
a_frost_spike01,51,Warrior,Tentacle Terror,NPC
an_avalanche_golem00,53,Warrior,Golem,NPC
a_frost_spike00,55,Warrior,Tentacle Terror,NPC
Frosticube00,54,Warrior,Gelatinous Cube,NPC
Royal_Scribe_Kaavin00,49,Cleric,Coldain,NPC
Grand_Huntsman_Darral00,49,Warrior,Coldain,NPC
Servant_Girl00,32,Warrior,Coldain,NPC
Royal_Guardsman_Hauten00,57,Warrior,Coldain,NPC
Royal_Guardsman_Horix00,57,Warrior,Coldain,NPC
Royal_Guardsman_Braxis00,57,Warrior,Coldain,NPC
Royal_Guardsman_Raxine00,57,Warrior,Coldain,NPC
The_Fabled_Chamberlain_Krystor,70,Paladin,Coldain,NPC
Royal_Guardsman_Nial00,57,Warrior,Coldain,NPC
Royal_Guardsman_Rhion00,57,Warrior,Coldain,NPC
an_Icewell_Sentinel13,50,Warrior,Coldain,NPC
an_Icewell_Sentinel12,52,Warrior,Coldain,NPC
an_Icewell_Sentinel11,53,Warrior,Coldain,NPC
an_Icewell_Sentinel10,51,Warrior,Coldain,NPC
Councilor_Icepike00,45,Warrior,Coldain,NPC
Councilor_Amberfeld00,47,Warrior,Coldain,NPC
Councilor_Deynekn00,46,Warrior,Coldain,NPC
Councilor_Coldember00,43,Warrior,Coldain,NPC
Councilor_Icelok00,47,Warrior,Coldain,NPC
Councilor_Glacierbane00,45,Warrior,Coldain,NPC
Councilor_Dirkins00,44,Warrior,Coldain,NPC
Councilor_Darkfrost00,45,Rogue,Coldain,NPC
Councilor_Wintershade00,47,Warrior,Coldain,NPC
Councilor_Darakor00,45,Warrior,Coldain,NPC
Councilor_Thubins00,43,Warrior,Coldain,NPC
Councilor_Juliah_Lockheart00,43,Warrior,Coldain,NPC
an_Icewell_Sentinel09,52,Warrior,Coldain,NPC
an_Icewell_Sentinel08,50,Warrior,Coldain,NPC
an_Icewell_Sentinel07,51,Warrior,Coldain,NPC
an_Icewell_Sentinel06,51,Warrior,Coldain,NPC
Staff_Sergeant_Bayard00,53,Warrior,Coldain,NPC
Sentinel_Saedis00,53,Warrior,Coldain,NPC
Sentinel_Fridmar00,52,Warrior,Coldain,NPC
Watcher_Sprin00,54,Warrior,Coldain,NPC
Sentinel_Sheila00,54,Warrior,Coldain,NPC
Sentinel_Anderin00,50,Warrior,Coldain,NPC
an_Icewell_Sentinel05,51,Warrior,Coldain,NPC
an_Icewell_Sentinel04,50,Warrior,Coldain,NPC
an_Icewell_Sentinel03,54,Warrior,Coldain,NPC
Loremaster_Solstrin00,50,Cleric,Coldain,NPC
Sentry_Ellison00,48,Warrior,Coldain,NPC
Watcher_Scots00,53,Warrior,Coldain,NPC
Watcher_Devin00,54,Warrior,Coldain,NPC
Sentinel_Paxin00,51,Warrior,Coldain,NPC
an_Icewell_Sentinel02,50,Warrior,Coldain,NPC
an_Icewell_Sentry09,46,Warrior,Coldain,NPC
an_Icewell_Sentry08,46,Warrior,Coldain,NPC
an_Icewell_Sentinel01,53,Warrior,Coldain,NPC
an_Icewell_Sentinel00,53,Warrior,Coldain,NPC
an_Icewell_Sentry07,45,Warrior,Coldain,NPC
an_Icewell_Sentry06,48,Warrior,Coldain,NPC
an_Icewell_Sentry05,45,Warrior,Coldain,NPC
an_Icewell_Sentry04,47,Warrior,Coldain,NPC
an_Icewell_Sentry03,47,Warrior,Coldain,NPC
an_Icewell_Sentry02,48,Warrior,Coldain,NPC
an_Icewell_Sentry01,48,Warrior,Coldain,NPC
an_Icewell_Sentry00,45,Warrior,Coldain,NPC
Seneschal_Aldikar01,65,Warrior,Coldain,NPC
