Name,Level,Class,Race,Type
a_Spiroc_Proven05,41,Rogue,Aviak,NPC
a_Vicious_Raptor02,43,Warrior,Raptor,NPC
a_Raptor11,41,Warrior,Raptor,NPC
a_Spiroc_Lightfoot04,37,Warrior,Aviak,NPC
a_Spiroc_Proven04,41,Rogue,Aviak,NPC
a_Spiroc_Lightfoot03,35,Warrior,Aviak,NPC
a_Spiroc_Watcher05,39,Warrior,Aviak,NPC
a_Spiroc_Lightfoot02,35,Warrior,Aviak,NPC
a_Spiroc_Watcher04,39,Warrior,Aviak,NPC
a_Spiroc_Watcher03,39,Warrior,Aviak,NPC
a_Spiroc_Watcher02,39,Warrior,Aviak,NPC
a_Spiroc_Proven03,40,Rogue,Aviak,NPC
a_Spiroc_Watcher01,39,Warrior,Aviak,NPC
a_Spiroc_Lightfoot01,35,Warrior,Aviak,NPC
a_Spiroc_Lightfoot00,37,Warrior,Aviak,NPC
a_Spiroc_Proven02,39,Rogue,Aviak,NPC
a_Spiroc_Proven01,39,Rogue,Aviak,NPC
a_Spiroc_Proven00,41,Rogue,Aviak,NPC
a_Spiroc_Watcher00,37,Warrior,Aviak,NPC
a_Raptor08,43,Warrior,Raptor,NPC
a_Raptor07,41,Warrior,Raptor,NPC
a_Raptor06,44,Warrior,Raptor,NPC
a_Raptor05,42,Warrior,Raptor,NPC
a_Raptor04,42,Warrior,Raptor,NPC
a_Raptor03,41,Warrior,Raptor,NPC
a_Vicious_Raptor01,44,Warrior,Raptor,NPC
a_Raptor02,43,Warrior,Raptor,NPC
a_Raptor01,41,Warrior,Raptor,NPC
a_Vicious_Raptor00,43,Warrior,Raptor,NPC
a_Raptor00,43,Warrior,Raptor,NPC
Cursed_Traveler00,1,Warrior,Ancient Skeleton,NPC
a_golra09,27,Warrior,Yeti,NPC
a_golra08,26,Warrior,Yeti,NPC
a_golra07,26,Warrior,Yeti,NPC
a_golra06,27,Warrior,Yeti,NPC
a_golra05,28,Warrior,Yeti,NPC
a_hulking_golra01,34,Warrior,Yeti,NPC
a_golra04,27,Warrior,Yeti,NPC
a_golra03,28,Warrior,Yeti,NPC
a_golra02,28,Warrior,Yeti,NPC
a_golra01,25,Warrior,Yeti,NPC
a_hulking_golra00,33,Warrior,Yeti,NPC
a_golra00,29,Warrior,Yeti,NPC
Halara00,40,Warrior,Yeti,NPC
a_gunthak_pirate09,49,Rogue,Barbarian,NPC
a_gunthak_swabby21,48,Rogue,Human,NPC
a_gunthak_swabby20,48,Rogue,Human,NPC
a_gunthak_swabby19,48,Rogue,Human,NPC
a_gunthak_swabby18,48,Rogue,Human,NPC
a_gunthak_pirate08,49,Rogue,Barbarian,NPC
a_gunthak_swabby17,48,Rogue,Human,NPC
a_gunthak_swabby16,48,Rogue,Human,NPC
a_gunthak_swabby15,48,Rogue,Human,NPC
Fire_Gator18,27,Warrior,Alligator,NPC
Fire_Gator17,26,Warrior,Alligator,NPC
Fire_Gator16,23,Warrior,Alligator,NPC
Fire_Gator15,25,Warrior,Alligator,NPC
Fire_Gator14,27,Warrior,Alligator,NPC
Fire_Gator13,26,Warrior,Alligator,NPC
Fire_Gator12,24,Warrior,Alligator,NPC
Fire_Gator11,25,Warrior,Alligator,NPC
Fire_Gator10,23,Warrior,Alligator,NPC
Fire_Gator09,24,Warrior,Alligator,NPC
Fire_Gator08,24,Warrior,Alligator,NPC
Fire_Gator07,24,Warrior,Alligator,NPC
Fire_Gator06,25,Warrior,Alligator,NPC
Fire_Gator05,26,Warrior,Alligator,NPC
Fire_Gator04,25,Warrior,Alligator,NPC
Fire_Gator03,25,Warrior,Alligator,NPC
Fire_Gator02,25,Warrior,Alligator,NPC
Fire_Gator01,26,Warrior,Alligator,NPC
Fire_Gator00,26,Warrior,Alligator,NPC
an_elven_war_scout02,20,Ranger,Wood Elf,NPC
an_elven_scout07,15,Ranger,Wood Elf,NPC
an_elven_scout06,17,Ranger,Wood Elf,NPC
an_elven_scout05,15,Ranger,Wood Elf,NPC
an_elven_ranger01,18,Ranger,Wood Elf,NPC
an_elven_scout04,16,Ranger,Wood Elf,NPC
an_elven_scout03,15,Ranger,Wood Elf,NPC
an_elven_war_scout01,19,Ranger,Wood Elf,NPC
an_elven_scout02,16,Ranger,Wood Elf,NPC
Seloris_Windweaver00,25,Shopkeeper,Wood Elf,NPC
an_elven_scout01,17,Ranger,Wood Elf,NPC
an_elven_ranger00,17,Ranger,Wood Elf,NPC
an_elven_scout00,16,Ranger,Wood Elf,NPC
an_elven_war_scout00,18,Ranger,Wood Elf,NPC
Micus_Vloren00,35,Shopkeeper,Wood Elf,NPC
Ogre_Wise_One01,17,Shaman,Ogre,NPC
The_Fabled_Oowomp00,40,Shaman,Ogre,NPC
#a_spiroc_roostmaster00,41,Warrior,Aviak,NPC
#Olok_One`eye00,53,Rogue,Human,NPC
an_Ogre_Raider02,18,Warrior,Ogre,NPC
#Ebon_Ice_Servant00,112,Warrior,Djinn,NPC
a_fallen_deckhand47,19,Rogue,Ancient Skeleton,NPC
a_gunthak_swabby14,48,Rogue,Human,NPC
a_fallen_deckhand44,20,Rogue,Ancient Skeleton,NPC
a_gunthak_pirate07,49,Rogue,Barbarian,NPC
a_gunthak_swabby13,48,Rogue,Human,NPC
a_gunthak_swabby12,48,Rogue,Human,NPC
a_gunthak_pirate06,49,Rogue,Barbarian,NPC
a_gunthak_swabby11,48,Rogue,Human,NPC
Lheao00,50,Warrior,Erudite,NPC
a_gunthak_swabby09,48,Rogue,Human,NPC
a_gunthak_swabby08,48,Rogue,Human,NPC
a_fallen_deckhand31,21,Rogue,Ancient Skeleton,NPC
a_gunthak_swabby07,48,Rogue,Human,NPC
a_fallen_deckhand30,21,Rogue,Ancient Skeleton,NPC
a_gunthak_pirate05,49,Rogue,Barbarian,NPC
a_fallen_deckhand28,20,Rogue,Ancient Skeleton,NPC
a_gunthak_swabby06,48,Rogue,Human,NPC
a_gunthak_pirate04,49,Rogue,Barbarian,NPC
a_gunthak_swabby05,48,Rogue,Human,NPC
a_gunthak_swabby04,48,Rogue,Human,NPC
a_gunthak_pirate03,49,Rogue,Barbarian,NPC
a_gunthak_swabby03,48,Rogue,Human,NPC
a_gunthak_swabby02,48,Rogue,Human,NPC
a_gunthak_pirate02,49,Rogue,Barbarian,NPC
a_fallen_deckhand29,19,Rogue,Ancient Skeleton,NPC
a_gunthak_swabby01,48,Rogue,Human,NPC
a_fallen_deckhand27,19,Rogue,Ancient Skeleton,NPC
a_gunthak_pirate01,49,Rogue,Barbarian,NPC
a_fallen_deckhand26,20,Rogue,Ancient Skeleton,NPC
a_streamer50,12,Warrior,Fish,NPC
a_gunthak_swabby00,48,Rogue,Human,NPC
a_streamer29,14,Warrior,Fish,NPC
