Name,Level,Class,Race,Type
a_Broken_Skull_dreadguard18,53,Warrior,Troll,NPC
a_Broken_Skull_dreadguard17,54,Warrior,Troll,NPC
a_luggald_reaver04,53,Shadow Knight,Luggald,NPC
a_Broken_Skull_deathguard15,54,Shadow Knight,Troll,NPC
a_Broken_Skull_deathguard14,53,Shadow Knight,Troll,NPC
a_luggald_abomination11,54,Warrior,Luggald,NPC
a_Broken_Skull_deathguard13,53,Shadow Knight,Troll,NPC
a_Broken_Skull_deathguard12,53,Shadow Knight,Troll,NPC
a_luggald_reaver03,53,Shadow Knight,Luggald,NPC
a_Broken_Skull_deathguard11,53,Shadow Knight,Troll,NPC
a_Broken_Skull_deathguard10,54,Shadow Knight,Troll,NPC
a_Broken_Skull_slaver06,49,Warrior,Troll,NPC
a_Broken_Skull_dreadguard16,53,Warrior,Troll,NPC
a_Broken_Skull_dreadguard15,53,Warrior,Troll,NPC
a_Broken_Skull_dreadguard14,53,Warrior,Troll,NPC
a_Broken_Skull_dreadguard13,54,Warrior,Troll,NPC
a_Broken_Skull_bloodguard30,50,Warrior,Troll,NPC
a_Broken_Skull_bloodguard29,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard28,51,Warrior,Troll,NPC
a_Broken_Skull_slaver05,49,Warrior,Troll,NPC
a_Broken_Skull_slaver04,49,Warrior,Troll,NPC
a_Broken_Skull_bruiser06,46,Warrior,Troll,NPC
a_Broken_Skull_bruiser05,46,Warrior,Troll,NPC
a_Broken_Skull_bruiser04,46,Warrior,Troll,NPC
a_Broken_Skull_bruiser03,46,Warrior,Troll,NPC
a_Broken_Skull_bruiser02,46,Warrior,Troll,NPC
a_luggald_abomination10,52,Warrior,Luggald,NPC
a_luggald_abomination09,52,Warrior,Luggald,NPC
a_luggald_reaver02,54,Shadow Knight,Luggald,NPC
a_luggald_reaver01,52,Shadow Knight,Luggald,NPC
a_luggald_abomination08,52,Warrior,Luggald,NPC
a_luggald_arcanist03,52,Wizard,Luggalds,NPC
a_broken_skull_deathguard09,54,Shadow Knight,Troll,NPC
a_broken_skull_deathguard08,53,Shadow Knight,Troll,NPC
a_Broken_Skull_dreadguard12,55,Warrior,Troll,NPC
a_Broken_Skull_deathguard07,53,Shadow Knight,Troll,NPC
a_Broken_Skull_dreadguard11,54,Warrior,Troll,NPC
a_broken_skull_deathguard06,55,Shadow Knight,Troll,NPC
a_Broken_Skull_dreadguard10,53,Warrior,Troll,NPC
a_Broken_Skull_dreadguard09,54,Warrior,Troll,NPC
a_luggald_abomination07,52,Warrior,Luggald,NPC
a_luggald_abomination06,53,Warrior,Luggald,NPC
a_Broken_Skull_dreadguard08,53,Warrior,Troll,NPC
a_Broken_Skull_dreadguard07,54,Warrior,Troll,NPC
a_Broken_Skull_deathguard05,55,Shadow Knight,Troll,NPC
a_Broken_Skull_dreadguard06,53,Warrior,Troll,NPC
a_Broken_Skull_deathguard04,55,Shadow Knight,Troll,NPC
a_Broken_Skull_dreadguard05,55,Warrior,Troll,NPC
a_Broken_Skull_dreadguard04,55,Warrior,Troll,NPC
a_Broken_Skull_deathguard03,55,Shadow Knight,Troll,NPC
a_Broken_Skull_dreadguard03,53,Warrior,Troll,NPC
a_Broken_Skull_dreadguard02,55,Warrior,Troll,NPC
a_Broken_Skull_dreadguard01,54,Warrior,Troll,NPC
a_Broken_Skull_deathguard02,55,Shadow Knight,Troll,NPC
a_Broken_Skull_dreadguard00,54,Warrior,Troll,NPC
a_Broken_Skull_deathguard01,55,Shadow Knight,Troll,NPC
a_Broken_Skull_deathguard00,53,Shadow Knight,Troll,NPC
a_Broken_Skull_bloodguard27,52,Warrior,Troll,NPC
a_luggald_abomination05,52,Warrior,Luggald,NPC
a_Broken_Skull_bloodguard26,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard25,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard24,51,Warrior,Troll,NPC
a_luggald_abomination04,52,Warrior,Luggald,NPC
a_luggald_arcanist02,54,Wizard,Luggalds,NPC
a_luggald_abomination03,54,Warrior,Luggald,NPC
a_luggald_abomination02,52,Warrior,Luggald,NPC
a_luggald_abomination01,52,Warrior,Luggald,NPC
a_Broken_Skull_bloodguard23,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard22,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard21,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard20,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard19,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard18,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard17,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard16,50,Warrior,Troll,NPC
a_luggald_occultist02,54,Necromancer,Luggalds,NPC
a_luggald_arcanist01,53,Wizard,Luggalds,NPC
a_luggald_reaver00,52,Shadow Knight,Luggald,NPC
a_luggald_arcanist00,52,Wizard,Luggalds,NPC
a_luggald_abomination00,54,Warrior,Luggald,NPC
a_luggald_occultist01,52,Necromancer,Luggalds,NPC
a_luggald_occultist00,54,Necromancer,Luggalds,NPC
a_Broken_Skull_bloodguard15,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard14,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard13,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard12,52,Warrior,Troll,NPC
Overseer_Wrank00,1,Warrior,Pirate,NPC
a_Broken_Skull_slaver03,49,Warrior,Troll,NPC
a_Broken_Skull_slaver02,49,Warrior,Troll,NPC
a_Broken_Skull_slaver01,49,Warrior,Troll,NPC
a_Broken_Skull_slaver00,49,Warrior,Troll,NPC
a_fanatical_miner09,50,Warrior,Wretch,NPC
a_fanatical_miner08,48,Warrior,Ogre,NPC
a_fanatical_miner07,49,Warrior,Ogre,NPC
a_resistance_miner07,39,Warrior,Ogre,NPC
a_fanatical_miner06,48,Warrior,Ogre,NPC
a_fanatical_miner05,50,Warrior,Wretch,NPC
a_fanatical_miner04,48,Warrior,Ogre,NPC
a_fanatical_miner03,50,Warrior,Wretch,NPC
a_resistance_miner06,39,Warrior,Ogre,NPC
a_fanatical_miner02,49,Warrior,Recuso,NPC
a_fanatical_miner01,50,Warrior,Ogre,NPC
a_fanatical_miner00,50,Warrior,Recuso,NPC
a_crazed_miner19,47,Warrior,Dwarf,NPC
a_crazed_miner18,47,Warrior,High Elf,NPC
a_crazed_miner17,46,Warrior,High Elf,NPC
a_crazed_miner16,47,Warrior,Gnome,NPC
a_crazed_miner15,48,Warrior,Gnome,NPC
a_crazed_miner14,48,Warrior,Halfling,NPC
a_crazed_miner13,47,Warrior,Halfling,NPC
a_crazed_miner12,47,Warrior,High Elf,NPC
a_resistance_miner05,39,Warrior,Gnome,NPC
a_crazed_miner11,47,Warrior,Gnome,NPC
a_crazed_miner10,46,Warrior,High Elf,NPC
a_crazed_miner09,47,Warrior,Dwarf,NPC
a_resistance_miner04,39,Warrior,Gnome,NPC
a_crazed_miner08,46,Warrior,Dwarf,NPC
a_crazed_miner07,47,Warrior,Gnome,NPC
a_crazed_miner06,48,Warrior,High Elf,NPC
a_crazed_miner05,46,Warrior,Gnome,NPC
#a_crazed_miner_00,47,Warrior,Human,NPC
a_delirious_miner07,43,Warrior,Kobold,NPC
a_delirious_miner06,42,Warrior,Erudite,NPC
a_resistance_miner02,39,Warrior,Dwarf,NPC
a_delirious_miner03,42,Warrior,Erudite,NPC
a_subverted_miner16,44,Warrior,Half Elf,NPC
a_subverted_miner15,45,Warrior,Half Elf,NPC
a_subverted_miner14,45,Warrior,Halfling,NPC
a_subverted_miner13,45,Warrior,Half Elf,NPC
a_subverted_miner12,46,Warrior,Dark Elf,NPC
a_subverted_miner11,46,Warrior,Half Elf,NPC
a_resistance_miner01,39,Warrior,Human,NPC
a_subverted_miner10,44,Warrior,Halfling,NPC
a_subverted_miner09,46,Warrior,Half Elf,NPC
a_subverted_miner08,46,Warrior,Half Elf,NPC
a_subverted_miner07,45,Warrior,Halfling,NPC
a_subverted_miner06,45,Warrior,Half Elf,NPC
a_subverted_miner05,44,Warrior,Half Elf,NPC
a_subverted_miner04,46,Warrior,Half Elf,NPC
a_subverted_miner03,44,Warrior,Half Elf,NPC
a_subverted_miner02,45,Warrior,Half Elf,NPC
a_subverted_miner01,44,Warrior,Dark Elf,NPC
a_subverted_miner00,44,Warrior,Halfling,NPC
a_resistance_miner00,39,Warrior,Human,NPC
a_Broken_Skull_bloodguard11,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard10,50,Warrior,Troll,NPC
a_Broken_Skull_bloodguard09,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard08,50,Warrior,Troll,NPC
a_Broken_Skull_bloodguard07,50,Warrior,Troll,NPC
a_Broken_Skull_bloodguard06,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard05,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard04,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard03,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard02,51,Warrior,Troll,NPC
a_Broken_Skull_bloodguard01,52,Warrior,Troll,NPC
a_Broken_Skull_bloodguard00,52,Warrior,Troll,NPC
a_crazed_miner23,47,Warrior,Gnome,NPC
a_crazed_miner22,48,Warrior,Halfling,NPC
a_crazed_miner21,46,Warrior,Gnome,NPC
a_crazed_miner20,47,Warrior,Dwarf,NPC
a_crazed_miner04,46,Warrior,Dwarf,NPC
a_crazed_miner03,46,Warrior,Dwarf,NPC
a_crazed_miner02,46,Warrior,Halfling,NPC
a_crazed_miner01,48,Warrior,Dwarf,NPC
a_subverted_miner22,45,Warrior,Half Elf,NPC
a_crazed_miner00,46,Warrior,Halfling,NPC
a_subverted_miner21,46,Warrior,Half Elf,NPC
a_subverted_miner18,46,Warrior,Half Elf,NPC
a_subverted_miner17,46,Warrior,Halfling,NPC
a_delirious_miner15,42,Warrior,Erudite,NPC
a_delirious_miner14,42,Warrior,Human,NPC
a_Broken_Skull_bruiser07,46,Warrior,Troll,NPC
a_delirious_miner13,43,Warrior,Erudite,NPC
a_delirious_miner12,44,Warrior,Kobold,NPC
a_delirious_miner11,42,Warrior,Kobold,NPC
a_delirious_miner10,44,Warrior,Human,NPC
a_delirious_miner09,43,Warrior,Erudite,NPC
a_delirious_miner08,44,Warrior,Kobold,NPC
a_delirious_miner05,43,Warrior,Erudite,NPC
a_Broken_Skull_bruiser01,46,Warrior,Troll,NPC
