Name,Level,Class,Race,Type
a_kerran_mujahed03,20,Shaman,Kerran,NPC
a_moss_snake06,1,Warrior,Snake,NPC
a_gorilla_guard00,18,Warrior,Gorilla,NPC
a_spiderling04,2,Warrior,Spider,NPC
a_gorilla_protector00,17,Shaman,Gorilla,NPC
a_kerran_amira_priestess00,22,Cleric,Kerran,NPC
a_briar_snake05,5,Warrior,Snake,NPC
a_kerran_amira_guardian00,19,Shaman,Kerran,NPC
a_briar_snake02,5,Warrior,Snake,NPC
a_kerran_pasdar16,17,Monk,Kerran,NPC
Emil_Parsini00,25,Shopkeeper,Erudite,NPC
a_large_thistle_snake07,5,Warrior,Snake,NPC
Sentinel_Flavius00,50,Paladin,Erudite,NPC
Martyn_Firechaser00,45,Shopkeeper,Human,NPC
Sentinel_Drom00,50,Paladin,Erudite,NPC
a_kerran_ademzada`amir01,19,Warrior,Kerran,NPC
Assistant_T`os00,50,Magician,Dark Elf,NPC
a_kerran_ademzada`amir00,21,Warrior,Kerran,NPC
a_skunk04,2,Warrior,Skunk,NPC
Verogone_Wayfinder00,12,Cleric,Erudite,NPC
a_large_fire_beetle03,8,Warrior,Beetle,NPC
a_fire_beetle16,2,Warrior,Beetle,NPC
a_Kerran_ghazi02,17,Shaman,Kerran,NPC
abandoned_heretic_pet04,7,Warrior,Skeleton,NPC
a_fire_beetle10,2,Warrior,Beetle,NPC
E`lial_B`rook00,7,Necromancer,Erudite,NPC
a_widow_hatchling01,2,Warrior,Spider,NPC
abandoned_heretic_pet03,7,Warrior,Skeleton,NPC
a_kobold_runt32,1,Warrior,Kobold,NPC
abandoned_heretic_pet02,7,Warrior,Skeleton,NPC
a_kobold_runt25,1,Warrior,Kobold,NPC
a_kerran_ghazi_shaman04,17,Shaman,Kerran,NPC
abandoned_heretic_pet01,8,Warrior,Skeleton,NPC
abandoned_heretic_pet00,7,Warrior,Skeleton,NPC
a_kerran_ghazi_shaman03,17,Shaman,Kerran,NPC
a_giant_fire_beetle01,11,Warrior,Beetle,NPC
a_fading_spectre00,8,Warrior,Spectre,NPC
a_kobold_scout23,2,Warrior,Kobold,NPC
a_large_thistle_snake02,5,Warrior,Snake,NPC
a_thistle_snake09,1,Warrior,Snake,NPC
a_kobold_watcher06,3,Warrior,Kobold,NPC
a_kobold_shaman03,4,Shaman,Kobold,NPC
a_thistle_snake08,1,Warrior,Snake,NPC
a_kobold_watcher17,3,Warrior,Kobold,NPC
a_kerran_pasdar14,19,Monk,Kerran,NPC
a_kobold_runt15,1,Warrior,Kobold,NPC
a_kobold_watcher16,3,Warrior,Kobold,NPC
a_kerran_pasdar13,17,Monk,Kerran,NPC
a_kobold_runt17,1,Warrior,Kobold,NPC
a_kerran_pasdar12,17,Monk,Kerran,NPC
a_decaying_skeleton11,2,Warrior,Ancient Skeleton,NPC
a_kobold_prisoner04,5,Warrior,Kobold,NPC
a_decaying_skeleton10,2,Warrior,Ancient Skeleton,NPC
a_kobold_prisoner03,4,Warrior,Kobold,NPC
a_giant_thistle_snake03,9,Warrior,Snake,NPC
a_kobold_prisoner02,3,Warrior,Kobold,NPC
a_kobold_prisoner01,4,Warrior,Kobold,NPC
a_kerran_pazdar04,19,Monk,Kerran,NPC
a_kerran_pazdar03,19,Monk,Kerran,NPC
a_kobold_shaman01,3,Shaman,Kobold,NPC
a_thistle_snake15,1,Warrior,Snake,NPC
a_skunk18,2,Warrior,Skunk,NPC
a_kobold_scout12,2,Warrior,Kobold,NPC
a_kerran_pasdar11,19,Monk,Kerran,NPC
a_kobold_watcher09,3,Warrior,Kobold,NPC
a_kerran_ghazi_shaman00,17,Shaman,Kerran,NPC
a_large_thistle_snake06,5,Warrior,Snake,NPC
a_kerran_pasdar09,17,Monk,Kerran,NPC
a_moss_snake14,1,Warrior,Snake,NPC
a_kerran_pasdar08,18,Monk,Kerran,NPC
a_kobold_scout01,2,Warrior,Kobold,NPC
a_kerran_pasdar06,19,Monk,Kerran,NPC
a_briar_snake07,3,Warrior,Snake,NPC
