Name,Level,Class,Race,Type
a_froglok_hunter01,45,Warrior,Froglok,NPC
spectral_legionnaire01,36,Warrior,Iksar Spirit,NPC
froglok_yun_shaman08,39,Shaman,Froglok,NPC
spectral_footman03,34,Warrior,Iksar Spirit,NPC
a_froglok_forager01,45,Warrior,Froglok,NPC
a_trakaraptor07,37,Warrior,Raptor,NPC
spectral_footman02,37,Warrior,Iksar Spirit,NPC
froglok_yun_shaman07,38,Shaman,Froglok,NPC
spectral_partisan01,31,Warrior,Iksar Spirit,NPC
Erollisi_bloodthorn14,41,Warrior,Man-Eating Plant,NPC
undead_keeper06,38,Necromancer,Iksar Skeleton,NPC
spectral_footman01,34,Warrior,Iksar Spirit,NPC
fallen_Iksar16,34,Warrior,Iksar Skeleton,NPC
a_froglok_hunter00,45,Warrior,Froglok,NPC
froglok_yun_shaman06,41,Shaman,Froglok,NPC
froglok_yun_shaman02,37,Shaman,Froglok,NPC
fallen_Iksar12,37,Warrior,Iksar Skeleton,NPC
fallen_Iksar06,37,Warrior,Iksar Skeleton,NPC
a_froglok_forager00,45,Warrior,Froglok,NPC
froglok_wan_knight11,38,Warrior,Froglok,NPC
a_stonegazer_cockatrice00,35,Warrior,Cockatrice,NPC
a_human_skeleton00,41,Wizard,Ancient Skeleton,NPC
froglok_tsu_shaman04,32,Shaman,Froglok,NPC
Erollisi_man-trap03,36,Warrior,Man-Eating Plant,NPC
froglok_vis_knight05,34,Warrior,Froglok,NPC
Erollisi_man-trap02,35,Warrior,Man-Eating Plant,NPC
a_trakaraptor13,39,Warrior,Raptor,NPC
froglok_yun_shaman00,38,Shaman,Froglok,NPC
#Seshkar00,45,Necromancer,Iksar Spirit,NPC
a_trakanasaur02,31,Warrior,Raptor,NPC
froglok_tsu_shaman02,31,Shaman,Froglok,NPC
froglok_shin_knight06,31,Warrior,Froglok,NPC
Erollisi_man-trap01,35,Warrior,Man-Eating Plant,NPC
froglok_shin_knight05,34,Warrior,Froglok,NPC
froglok_shin_warrior03,31,Warrior,Froglok,NPC
froglok_shin_knight03,35,Warrior,Froglok,NPC
a_stonegazer_cockatrice04,33,Warrior,Cockatrice,NPC
a_stonegazer_cockatrice03,37,Warrior,Cockatrice,NPC
a_trakanasaur01,33,Warrior,Raptor,NPC
froglok_tsu_shaman01,30,Shaman,Froglok,NPC
froglok_shin_warrior02,28,Warrior,Froglok,NPC
a_stonegazer_cockatrice02,34,Warrior,Cockatrice,NPC
froglok_tsu_shaman00,29,Shaman,Froglok,NPC
a_stonegazer_cockatrice01,35,Warrior,Cockatrice,NPC
sabretooth_tigress02,30,Warrior,Saber-toothed Cat,NPC
sabretooth_tigress01,31,Warrior,Saber-toothed Cat,NPC
sabretooth_tigress00,32,Warrior,Saber-toothed Cat,NPC
froglok_shin_knight01,35,Warrior,Froglok,NPC
a_trakanasaur00,33,Warrior,Raptor,NPC
froglok_tal_shaman00,31,Shaman,Froglok,NPC
froglok_shin_knight00,31,Warrior,Froglok,NPC
Erollisi_bloodthorn10,39,Warrior,Man-Eating Plant,NPC
