Name,Level,Class,Race,Type
Shak_Dathor13,56,Warrior,Tegi,NPC
Shak_Dathor12,56,Warrior,Tegi,NPC
Shak_Dathor11,53,Warrior,Tegi,NPC
Shak_Dathor10,53,Warrior,Tegi,NPC
Shak_Dathor09,54,Warrior,Tegi,NPC
Shak_Dathor08,54,Warrior,Tegi,NPC
Shak_Dathor06,57,Warrior,Tegi,NPC
a_fallen_soldier19,55,Warrior,Vah Shir Skeleton,NPC
a_fallen_soldier18,54,Warrior,Vah Shir Skeleton,NPC
a_fyr_jen_guardian15,54,Warrior,Tegi,NPC
Shak_Dathor04,55,Warrior,Tegi,NPC
Shak_Dathor03,55,Warrior,Tegi,NPC
a_fyr_jen_guardian12,55,Warrior,Tegi,NPC
Shak_Dathor02,53,Warrior,Tegi,NPC
Shak_Dathor01,57,Warrior,Tegi,NPC
a_fyr_jen_guardian11,57,Warrior,Tegi,NPC
a_fyr_jen_guardian10,56,Warrior,Tegi,NPC
a_fallen_soldier20,57,Warrior,Vah Shir Skeleton,NPC
a_fyr_jen_flame_warder00,57,Shaman,Tegi,NPC
a_Dark_Assassin00,55,Rogue,Shade,NPC
a_fyr_jen_guardian09,56,Warrior,Tegi,NPC
a_fallen_soldier17,54,Warrior,Vah Shir Skeleton,NPC
a_fyr_jen_guardian07,55,Warrior,Tegi,NPC
a_fyr_jen_guardian06,54,Warrior,Tegi,NPC
a_fyr_jen_guardian05,53,Warrior,Tegi,NPC
a_fyr_jen_guardian04,53,Warrior,Tegi,NPC
a_fallen_soldier14,57,Warrior,Vah Shir Skeleton,NPC
a_fyr_jen_guardian03,53,Warrior,Tegi,NPC
a_fyr_jen_guardian02,54,Warrior,Tegi,NPC
a_fallen_soldier11,55,Warrior,Vah Shir Skeleton,NPC
a_fyr_jen_guardian01,55,Warrior,Tegi,NPC
a_fallen_soldier09,55,Warrior,Vah Shir Skeleton,NPC
a_fyr_jen_guardian00,53,Warrior,Tegi,NPC
disturbed_elysian_remains26,53,Warrior,Skeleton,NPC
a_fallen_soldier07,53,Warrior,Vah Shir Skeleton,NPC
a_fallen_soldier06,55,Warrior,Vah Shir Skeleton,NPC
disturbed_elysian_remains23,54,Warrior,Skeleton,NPC
a_Dark_Assassin21,55,Rogue,Shade,NPC
a_fallen_soldier04,53,Warrior,Vah Shir Skeleton,NPC
disturbed_elysian_remains18,56,Warrior,Skeleton,NPC
a_fallen_soldier03,55,Warrior,Vah Shir Skeleton,NPC
disturbed_elysian_remains16,54,Warrior,Skeleton,NPC
a_fallen_soldier01,55,Warrior,Vah Shir Skeleton,NPC
disturbed_elysian_remains15,57,Warrior,Skeleton,NPC
a_fallen_soldier12,56,Warrior,Vah Shir Skeleton,NPC
a_netherbian_ravager33,53,Warrior,Netherbian,NPC
a_gantru_moktor15,55,Warrior,Galorian,NPC
a_netherbian_ravager32,57,Warrior,Netherbian,NPC
a_fallen_soldier16,54,Warrior,Vah Shir Skeleton,NPC
a_netherbian_ravager31,56,Warrior,Netherbian,NPC
a_netherbian_ravager29,54,Warrior,Netherbian,NPC
a_syl_ren_frost_warder00,57,Shaman,Tegi,NPC
a_gargantuan_zelniak08,54,Warrior,Zelniak,NPC
a_syl_ren_guardian04,57,Warrior,Tegi,NPC
a_netherbian_ravager28,54,Warrior,Netherbian,NPC
a_syl_ren_guardian00,55,Warrior,Tegi,NPC
a_netherbian_ravager43,56,Warrior,Netherbian,NPC
a_netherbian_ravager26,55,Warrior,Netherbian,NPC
a_netherbian_ravager42,55,Warrior,Netherbian,NPC
a_netherbian_hive_fiend01,58,Warrior,Netherbian,NPC
a_netherbian_ravager41,56,Warrior,Netherbian,NPC
a_netherbian_ravager25,54,Warrior,Netherbian,NPC
a_netherbian_ravager40,54,Warrior,Netherbian,NPC
a_gargantuan_zelniak02,54,Warrior,Zelniak,NPC
a_netherbian_ravager23,57,Warrior,Netherbian,NPC
a_netherbian_ravager39,54,Warrior,Netherbian,NPC
a_netherbian_ravager22,53,Warrior,Netherbian,NPC
a_netherbian_ravager21,56,Warrior,Netherbian,NPC
a_netherbian_ravager38,54,Warrior,Netherbian,NPC
a_netherbian_ravager37,57,Warrior,Netherbian,NPC
a_netherbian_ravager36,55,Warrior,Netherbian,NPC
a_netherbian_ravager18,53,Warrior,Netherbian,NPC
a_gantru_moktor16,57,Warrior,Galorian,NPC
#Agent_of_Change00,105,Warrior,Ancient Wolf,NPC
a_netherbian_ravager27,56,Warrior,Netherbian,NPC
a_gantru_moktor07,55,Warrior,Galorian,NPC
a_Dark_Assassin12,55,Rogue,Shade,NPC
a_Dark_Assassin09,55,Rogue,Shade,NPC
a_gantru_moktor03,56,Warrior,Galorian,NPC
a_gantru_moktor01,53,Warrior,Galorian,NPC
a_gantru_moktor13,56,Warrior,Galorian,NPC
a_gantru_moktor12,55,Warrior,Galorian,NPC
a_gantru_moktor11,56,Warrior,Galorian,NPC
a_gantru_moktor10,53,Warrior,Galorian,NPC
a_gargantuan_zelniak05,54,Warrior,Zelniak,NPC
a_gantru_moktor09,57,Warrior,Galorian,NPC
a_gantru_moktor08,55,Warrior,Galorian,NPC
a_gantru_moktor00,54,Warrior,Galorian,NPC
a_netherbian_ravager24,55,Warrior,Netherbian,NPC
Shak_Dathor15,54,Warrior,Tegi,NPC
a_gantru_shojen00,56,Shaman,Galorian,NPC
a_gantru_moktor04,54,Warrior,Galorian,NPC
a_syl_ren_frost_warder02,57,Shaman,Tegi,NPC
a_syl_ren_guardian03,53,Warrior,Tegi,NPC
a_syl_ren_guardian02,54,Warrior,Tegi,NPC
a_netherbian_ravager17,57,Warrior,Netherbian,NPC
a_netherbian_ravager16,57,Warrior,Netherbian,NPC
a_netherbian_ravager15,56,Warrior,Netherbian,NPC
a_netherbian_ravager14,57,Warrior,Netherbian,NPC
a_netherbian_ravager13,57,Warrior,Netherbian,NPC
a_netherbian_ravager12,53,Warrior,Netherbian,NPC
a_netherbian_ravager11,54,Warrior,Netherbian,NPC
a_netherbian_ravager10,57,Warrior,Netherbian,NPC
a_Dark_Assassin26,55,Rogue,Shade,NPC
a_Dark_Assassin23,55,Rogue,Shade,NPC
a_massive_stone_guardian11,58,Warrior,Elemental,NPC
a_gargantuan_zelniak09,54,Warrior,Zelniak,NPC
a_gargantuan_zelniak06,53,Warrior,Zelniak,NPC
a_Dark_Assassin18,55,Rogue,Shade,NPC
a_gargantuan_zelniak04,55,Warrior,Zelniak,NPC
