Name,Level,Class,Race,Type
a_jack_o_lantern00,13,Warrior,Scarecrow,NPC
a_carrion_ghoul04,23,Warrior,Ghoul,NPC
#Brinaghan_the_Reposed00,130,Warrior,Zombie,NPC
a_skeletal_monk02,25,Monk,Ancient Skeleton,NPC
Serra00,1,Warrior,Zombie,NPC
a_dry_bone_skeleton10,21,Warrior,Ancient Skeleton,NPC
a_skeletal_monk09,23,Monk,Ancient Skeleton,NPC
reclusive_ghoul_magus00,23,Necromancer,Ghoul,NPC
a_dry_bone_skeleton09,21,Warrior,Ancient Skeleton,NPC
a_dry_bone_skeleton08,20,Warrior,Ancient Skeleton,NPC
a_skeletal_monk01,24,Monk,Ancient Skeleton,NPC
a_carrion_ghoul03,22,Warrior,Ghoul,NPC
a_carrion_ghoul02,24,Warrior,Ghoul,NPC
a_tormented_dead02,11,Warrior,Zombie,NPC
a_barbed_bone_skeleton06,26,Warrior,Ancient Skeleton,NPC
Khrix_Fritchoff00,35,Necromancer,Gnome,NPC
a_dry_bone_skeleton07,22,Warrior,Ancient Skeleton,NPC
a_dry_bone_skeleton05,22,Warrior,Ancient Skeleton,NPC
a_gnomish_spelunker00,20,Warrior,Gnome,NPC
a_festering_hag00,30,Wizard,Zombie,NPC
a_tormented_dead13,14,Warrior,Zombie,NPC
a_ghoul12,25,Warrior,Ghoul,NPC
a_dry_bone_skeleton04,21,Warrior,Ancient Skeleton,NPC
a_skeletal_monk00,25,Monk,Ancient Skeleton,NPC
a_dry_bone_skeleton02,21,Warrior,Ancient Skeleton,NPC
a_ghoul09,23,Warrior,Ghoul,NPC
a_barbed_bone_skeleton03,26,Warrior,Ancient Skeleton,NPC
a_carrion_ghoul00,21,Warrior,Ghoul,NPC
a_crazed_ghoul00,26,Warrior,Ghoul,NPC
a_barbed_bone_skeleton01,25,Warrior,Ancient Skeleton,NPC
a_death_beetle03,11,Warrior,Beetle,NPC
a_skeletal_monk03,24,Monk,Ancient Skeleton,NPC
a_dry_bone_skeleton03,20,Warrior,Ancient Skeleton,NPC
a_dry_bone_skeleton01,20,Warrior,Ancient Skeleton,NPC
a_greater_dark_bone07,27,Warrior,Ancient Skeleton,NPC
a_greater_dark_bone00,30,Warrior,Ancient Skeleton,NPC
an_undead_knight_of_Unrest00,28,Shadow Knight,Ancient Skeleton,NPC
a_greater_dark_bone05,27,Warrior,Ancient Skeleton,NPC
a_festering_hag06,28,Wizard,Zombie,NPC
an_undead_barkeep00,25,Rogue,Zombie,NPC
a_carrion_ghoul06,22,Warrior,Ghoul,NPC
a_dry_bone_skeleton00,21,Warrior,Ancient Skeleton,NPC
a_mortuary_fungus01,28,Warrior,Fungusman,NPC
a_carrion_ghoul01,24,Warrior,Ghoul,NPC
a_dark_boned_skeleton06,16,Warrior,Ancient Skeleton,NPC
a_ghoul08,17,Warrior,Ghoul,NPC
a_ghoul07,17,Warrior,Ghoul,NPC
a_ghoul03,14,Warrior,Ghoul,NPC
a_ghoul02,14,Warrior,Ghoul,NPC
a_dark_boned_skeleton04,16,Warrior,Ancient Skeleton,NPC
a_ghoul00,17,Warrior,Ghoul,NPC
a_tormented_dead01,10,Warrior,Zombie,NPC
a_death_beetle00,11,Warrior,Beetle,NPC
a_ghoul15,15,Warrior,Ghoul,NPC
a_dark_boned_skeleton05,18,Warrior,Ancient Skeleton,NPC
a_dark_boned_skeleton01,18,Warrior,Ancient Skeleton,NPC
a_ghoul14,13,Warrior,Ghoul,NPC
a_lurking_mummy00,18,Warrior,Zombie,NPC
a_dry_bone_skeleton06,22,Warrior,Ancient Skeleton,NPC
a_jack_o_lantern04,12,Warrior,Scarecrow,NPC
a_death_beetle19,10,Warrior,Beetle,NPC
a_tormented_dead06,12,Warrior,Zombie,NPC
a_festering_hag04,29,Wizard,Zombie,NPC
a_tentacle_terror01,32,Warrior,Tentacle Terror,NPC
a_tentacle_terror00,31,Warrior,Tentacle Terror,NPC
a_greater_dark_bone08,26,Warrior,Ancient Skeleton,NPC
a_festering_hag03,29,Wizard,Zombie,NPC
a_greater_dark_bone04,28,Warrior,Ancient Skeleton,NPC
Torklar_Battlemaster00,20,Warrior,Ghost,NPC
a_ghoul13,13,Warrior,Ghoul,NPC
an_undead_brewer00,18,Warrior,Ancient Skeleton,NPC
a_ghoul11,14,Warrior,Ghoul,NPC
a_dark_boned_skeleton02,15,Warrior,Ancient Skeleton,NPC
a_ghoul10,14,Warrior,Ghoul,NPC
a_lurking_mummy03,19,Warrior,Zombie,NPC
a_ghoul06,17,Warrior,Ghoul,NPC
a_werebat03,26,Warrior,Kobold,NPC
a_barbed_bone_skeleton05,25,Warrior,Ancient Skeleton,NPC
