Name,Level,Class,Race,Type
a_highborn02,59,Warrior,Veksar,NPC
a_noble00,59,Shadow Knight,Veksar,NPC
a_noble_crusader01,63,Shadow Knight,Veksar,NPC
a_revenant05,52,Warrior,Veksar,NPC
a_crusader01,48,Shadow Knight,Veksar,NPC
a_rotting_hunter06,56,Warrior,Undead Chokidai,NPC
a_rotting_hunter05,56,Warrior,Undead Chokidai,NPC
a_rotting_hunter04,55,Warrior,Undead Chokidai,NPC
a_rotting_hunter03,57,Warrior,Undead Chokidai,NPC
a_rotting_hunter02,56,Warrior,Undead Chokidai,NPC
a_rotting_hunter01,56,Warrior,Undead Chokidai,NPC
a_rotting_hunter00,57,Warrior,Undead Chokidai,NPC
a_decaying_slave13,58,Warrior,Froglok,NPC
a_wraith04,51,Warrior,Veksar,NPC
a_decaying_slave12,58,Warrior,Froglok,NPC
a_decaying_slave11,58,Warrior,Froglok,NPC
a_decaying_slave10,58,Warrior,Froglok,NPC
a_decaying_slave09,58,Warrior,Froglok,NPC
a_decaying_slave08,58,Warrior,Froglok,NPC
a_decaying_slave07,58,Warrior,Froglok,NPC
an_animated_hand01,57,Warrior,Animated Hand,NPC
a_decaying_slave06,58,Warrior,Froglok,NPC
a_cursed_hand04,59,Warrior,Animated Hand,NPC
an_animated_hand00,57,Warrior,Animated Hand,NPC
a_decaying_slave04,58,Warrior,Froglok,NPC
an_undead_slave04,60,Warrior,Froglok,NPC
a_revenant08,54,Warrior,Veksar,NPC
an_undead_slave03,60,Warrior,Froglok,NPC
a_wraith10,57,Warrior,Veksar,NPC
a_decaying_slave03,58,Warrior,Froglok,NPC
a_revenant01,54,Warrior,Veksar,NPC
a_revenant03,58,Shadow Knight,Veksar,NPC
a_decaying_slave02,58,Warrior,Froglok,NPC
a_wraith08,58,Warrior,Veksar,NPC
a_decaying_slave01,58,Warrior,Froglok,NPC
an_undead_slave02,60,Warrior,Froglok,NPC
an_undead_slave01,60,Warrior,Froglok,NPC
a_duke00,51,Shadow Knight,Veksar,NPC
a_decaying_slave00,58,Warrior,Froglok,NPC
a_wraith07,58,Warrior,Veksar,NPC
an_undead_slave00,60,Warrior,Froglok,NPC
a_wraith06,57,Warrior,Veksar,NPC
an_animated_hand09,56,Warrior,Animated Hand,NPC
a_wraith05,57,Warrior,Veksar,NPC
