Name,Level,Class,Race,Type
a_crystalline_watcher20,45,Rogue,Spider,NPC
a_crystalline_devourer00,47,Rogue,Spider,NPC
a_crystalline_watcher19,45,Rogue,Spider,NPC
a_crystalline_watcher18,45,Rogue,Spider,NPC
a_blizzard_spider01,45,Warrior,Spider,NPC
a_crystalline_watcher17,45,Rogue,Spider,NPC
a_crystalline_watcher00,45,Rogue,Spider,NPC
a_blizzard_spider05,45,Warrior,Spider,NPC
a_blizzard_spider03,45,Warrior,Spider,NPC
Bjoron_Axefall00,35,Warrior,Coldain,NPC
Khlem_Alestone00,35,Warrior,Coldain,NPC
Drella_Stonegrinder00,35,Warrior,Coldain,NPC
Brumen_Firehammer00,35,Warrior,Coldain,NPC
Dlemin_Whiteforge00,35,Warrior,Coldain,NPC
Bryma_Loftaxe00,35,Warrior,Coldain,NPC
Frekka_Alebringer00,35,Warrior,Coldain,NPC
a_crystal_sentinel07,55,Warrior,Golem,NPC
a_crystaline_sentinel05,52,Warrior,Golem,NPC
an_Icepaw_prophet08,51,Cleric,Kobold,NPC
an_Icepaw_prophet07,51,Cleric,Kobold,NPC
a_blizzard_spider09,45,Warrior,Spider,NPC
a_crystalline_watcher14,45,Rogue,Spider,NPC
a_shard_spider07,47,Warrior,Spider,NPC
an_Icepaw_kobold14,46,Shaman,Kobold,NPC
an_Icepaw_kobold13,46,Warrior,Kobold,NPC
an_Icepaw_kobold_warrior03,48,Warrior,Kobold,NPC
an_Icepaw_kobold_priest02,48,Shaman,Kobold,NPC
an_Icepaw_kobold12,46,Warrior,Kobold,NPC
an_Icepaw_kobold11,46,Shaman,Kobold,NPC
an_Icepaw_kobold10,46,Warrior,Kobold,NPC
an_Icepaw_kobold09,46,Warrior,Kobold,NPC
a_crystalline_watcher12,45,Rogue,Spider,NPC
a_crystalline_watcher11,45,Rogue,Spider,NPC
an_Icepaw_kobold_priest01,48,Shaman,Kobold,NPC
a_crystalline_watcher02,45,Rogue,Spider,NPC
an_Icepaw_kobold06,46,Shaman,Kobold,NPC
an_Icepaw_Champion04,51,Warrior,Kobold,NPC
an_Icepaw_prophet04,51,Cleric,Kobold,NPC
an_Icepaw_prophet03,51,Cleric,Kobold,NPC
an_Icepaw_kobold_priest00,48,Shaman,Kobold,NPC
an_Icepaw_kobold05,46,Warrior,Kobold,NPC
an_Icepaw_champion03,48,Warrior,Kobold,NPC
an_Icepaw_prophet06,51,Cleric,Kobold,NPC
an_Icepaw_kobold26,46,Shaman,Kobold,NPC
an_Icepaw_Prophet05,51,Cleric,Kobold,NPC
an_Icepaw_kobold25,46,Warrior,Kobold,NPC
an_Icepaw_kobold24,46,Shaman,Kobold,NPC
an_Icepaw_kobold_priest09,48,Shaman,Kobold,NPC
an_Icepaw_kobold23,46,Shaman,Kobold,NPC
#Bledrek00,58,Warrior,Golem,NPC
an_Icepaw_kobold22,46,Shaman,Kobold,NPC
#Kerdelb00,58,Warrior,Golem,NPC
an_Icepaw_kobold21,46,Shaman,Kobold,NPC
