Name,Level,Class,Race,Type
Zun_Senshali00,61,Rogue,Akheva,NPC
Zun_Centien03,61,Warrior,Akheva,NPC
Zov_Va_Liako01,58,Shadow Knight,Akheva,NPC
Zov_Senshali00,58,Rogue,Akheva,NPC
Pli_Va_Liako03,64,Shadow Knight,Akheva,NPC
Zun_Centien02,61,Warrior,Akheva,NPC
Pli_Zethon02,64,Wizard,Akheva,NPC
Eom_Senshali00,66,Rogue,Akheva,NPC
Eom_Thall_Xakra04,66,Cleric,Shade,NPC
Pli_Zethon_Xakra00,64,Wizard,Shade,NPC
Zun_Centien_Xakra02,61,Warrior,Shade,NPC
Qua_Zethon_Xakra07,55,Wizard,Shade,NPC
Eom_Centien07,66,Warrior,Akheva,NPC
Qua_Centien_Xakra00,55,Warrior,Shade,NPC
Qua_Va_Liako_Xakra00,55,Shadow Knight,Shade,NPC
Zov_Senshali_Xakra01,58,Rogue,Shade,NPC
Qua_Thall_Xakra04,55,Cleric,Shade,NPC
Qua_Centien04,55,Warrior,Akheva,NPC
Qua_Centien03,55,Warrior,Akheva,NPC
#The_Fabled_Thall_Va_Xakra01,80,Warrior,Shade,NPC
Qua_Centien05,55,Warrior,Akheva,NPC
Zun_Senshali01,61,Rogue,Akheva,NPC
Qua_Senshali_Xakra01,55,Rogue,Shade,NPC
Zov_Liako_Xakra04,58,Paladin,Shade,NPC
Zov_Centien_Xakra00,58,Warrior,Shade,NPC
Eom_Centien06,66,Warrior,Akheva,NPC
Pli_Thall06,64,Cleric,Akheva,NPC
Pli_Centien01,64,Warrior,Akheva,NPC
Pli_Thall05,64,Cleric,Akheva,NPC
Zun_Liako_Xakra01,61,Paladin,Shade,NPC
Zov_Senshali_Xakra00,58,Rogue,Shade,NPC
Zun_Thall_Xakra00,61,Cleric,Shade,NPC
Eom_Centien02,66,Warrior,Akheva,NPC
Pli_Thall00,64,Cleric,Akheva,NPC
Zun_Centien06,61,Warrior,Akheva,NPC
Eom_Va_Dyn00,66,Warrior,Stonegrabber,NPC
Zun_Centien05,61,Warrior,Akheva,NPC
Qua_Liako_Xakra01,55,Paladin,Shade,NPC
Zov_Thall_Xakra01,58,Cleric,Shade,NPC
Zov_Liako_Xakra01,58,Paladin,Shade,NPC
Qua_Thall02,55,Cleric,Akheva,NPC
Eom_Thall03,66,Cleric,Akheva,NPC
Qua_Va_Liako02,55,Shadow Knight,Akheva,NPC
Qua_Zethon_Xakra04,55,Wizard,Shade,NPC
Zov_Senshali02,58,Rogue,Akheva,NPC
Zun_Thall00,61,Cleric,Akheva,NPC
Zun_Liako_Xakra04,61,Paladin,Shade,NPC
Zun_Centien10,61,Warrior,Akheva,NPC
Zov_Liako_Xakra02,58,Paladin,Shade,NPC
Eom_Centien03,66,Warrior,Akheva,NPC
Zov_Senshali_Xakra02,58,Rogue,Shade,NPC
Zun_Senshali_Xakra04,61,Rogue,Shade,NPC
Qua_Zethon_Xakra05,55,Wizard,Shade,NPC
Eom_Zethon00,66,Wizard,Akheva,NPC
Qua_Thall_Xakra03,55,Cleric,Shade,NPC
Zov_Centien_Xakra05,58,Warrior,Shade,NPC
Zov_Centien00,58,Warrior,Akheva,NPC
