Name,Level,Class,Race,Type
a_scaled_wolf00,6,Warrior,Chokidai,NPC
an_iksar_footpad00,5,Warrior,Iksar,NPC
a_goblin_aggressor16,19,Warrior,Goblin,NPC
a_scaled_wolf_elder02,22,Warrior,Chokidai,NPC
a_goblin_scout08,4,Warrior,Goblin,NPC
a_goblin_scout07,2,Warrior,Goblin,NPC
a_goblin_whelp32,1,Warrior,Goblin,NPC
a_goblin_scout06,3,Warrior,Goblin,NPC
a_goblin_scout09,2,Warrior,Goblin,NPC
a_scaled_wolf_pup14,1,Warrior,Chokidai,NPC
a_scaled_wolf_pup39,1,Warrior,Chokidai,NPC
skeleton05,5,Warrior,Iksar Skeleton,NPC
a_forest_giant_greenwood04,23,Warrior,Giant,NPC
a_goblin_aggressor14,18,Warrior,Goblin,NPC
a_goblin_scout05,4,Warrior,Goblin,NPC
a_scaled_wolf_tracker00,18,Warrior,Chokidai,NPC
decaying_skeleton13,1,Warrior,Iksar Skeleton,NPC
a_scaled_wolf_cub07,3,Warrior,Chokidai,NPC
a_scaled_wolf_cub06,4,Warrior,Chokidai,NPC
a_forest_giant_evergreen05,24,Warrior,Giant,NPC
a_forest_giant_greenwood07,23,Warrior,Giant,NPC
a_scaled_wolf_cub05,3,Warrior,Chokidai,NPC
a_goblin_warrior01,22,Warrior,Goblin,NPC
a_goblin_bloodtracer03,17,Shaman,Goblin,NPC
a_goblin_warrior00,21,Warrior,Goblin,NPC
a_goblin_scout04,3,Warrior,Goblin,NPC
a_goblin_watcher03,4,Warrior,Goblin,NPC
a_scaled_wolf_pup13,1,Warrior,Chokidai,NPC
decaying_skeleton12,1,Warrior,Iksar Skeleton,NPC
a_scaled_wolf_pup12,1,Warrior,Chokidai,NPC
a_scaled_wolf_pup11,1,Warrior,Chokidai,NPC
a_goblin_scout03,2,Warrior,Goblin,NPC
decaying_skeleton11,1,Warrior,Iksar Skeleton,NPC
decaying_skeleton10,1,Warrior,Iksar Skeleton,NPC
a_goblin_whelp03,1,Warrior,Goblin,NPC
a_scaled_wolf_cub04,4,Warrior,Chokidai,NPC
a_goblin_scout02,4,Warrior,Goblin,NPC
a_scaled_wolf_cub03,2,Warrior,Chokidai,NPC
a_scaled_wolf_pup10,1,Warrior,Chokidai,NPC
a_scaled_wolf_pup00,1,Warrior,Chokidai,NPC
a_goblin_bloodtracer06,16,Shaman,Goblin,NPC
a_goblin_battlemaster29,15,Warrior,Goblin,NPC
a_scaled_wolf_pup18,1,Warrior,Chokidai,NPC
decaying_skeleton09,1,Warrior,Iksar Skeleton,NPC
skeleton03,4,Warrior,Iksar Skeleton,NPC
a_goblin_whelp12,1,Warrior,Goblin,NPC
a_forest_giant_greenwood13,22,Warrior,Giant,NPC
a_scaled_wolf_pup09,1,Warrior,Chokidai,NPC
a_goblin_whelp02,1,Warrior,Goblin,NPC
a_goblin_whelp25,1,Warrior,Goblin,NPC
a_scaled_wolf_pup07,1,Warrior,Chokidai,NPC
decaying_skeleton08,1,Warrior,Iksar Skeleton,NPC
a_goblin_watcher24,3,Warrior,Goblin,NPC
a_goblin_scout01,4,Warrior,Goblin,NPC
a_goblin_scout18,2,Warrior,Goblin,NPC
a_scaled_wolf_cub02,3,Warrior,Chokidai,NPC
a_goblin_hunter06,9,Warrior,Goblin,NPC
decaying_skeleton05,1,Warrior,Iksar Skeleton,NPC
a_scaled_wolf_pup40,1,Warrior,Chokidai,NPC
decaying_skeleton04,1,Warrior,Iksar Skeleton,NPC
a_goblin_whelp28,1,Warrior,Goblin,NPC
a_forest_giant_evergreen06,23,Warrior,Giant,NPC
a_goblin_whelp08,1,Warrior,Goblin,NPC
a_goblin_watcher01,3,Warrior,Goblin,NPC
a_scaled_wolf_pup02,1,Warrior,Chokidai,NPC
a_goblin_watcher15,3,Warrior,Goblin,NPC
a_skulking_brute06,24,Warrior,Yeti,NPC
a_goblin_battlemaster37,15,Warrior,Goblin,NPC
a_skulking_brute05,23,Warrior,Yeti,NPC
decaying_skeleton19,1,Warrior,Iksar Skeleton,NPC
a_scaled_wolf_cub01,4,Warrior,Chokidai,NPC
a_goblin_bonecaster08,12,Shaman,Goblin,NPC
a_goblin_watcher02,3,Warrior,Goblin,NPC
a_scaled_wolf_cub25,4,Warrior,Chokidai,NPC
a_scaled_wolf_pup04,1,Warrior,Chokidai,NPC
a_goblin_watcher00,4,Warrior,Goblin,NPC
a_skulking_brute02,25,Warrior,Yeti,NPC
a_goblin_soothsayer05,20,Shaman,Goblin,NPC
a_goblin_battlemaster30,14,Warrior,Goblin,NPC
an_iksar_manslayer10,19,Warrior,Iksar,NPC
a_scaled_wolf_tracker08,17,Warrior,Chokidai,NPC
a_skulking_brute01,22,Warrior,Yeti,NPC
a_scaled_wolf_cub18,4,Warrior,Chokidai,NPC
an_iksar_lookout19,9,Warrior,Iksar,NPC
a_scaled_wolf_elder04,21,Warrior,Chokidai,NPC
a_skulking_brute04,25,Warrior,Yeti,NPC
an_iksar_manslayer08,19,Warrior,Iksar,NPC
Xarezia_Dru`Shiv00,50,Warrior,Iksar,NPC
an_iksar_lookout17,8,Warrior,Iksar,NPC
Juikull_Slizz00,50,Warrior,Iksar,NPC
an_iksar_manslayer07,17,Warrior,Iksar,NPC
an_iksar_lookout16,10,Warrior,Iksar,NPC
an_iksar_lookout15,10,Warrior,Iksar,NPC
Drakigone_Bruann00,50,Warrior,Troll,NPC
