Name,Level,Class,Race,Type
a_glacier_mastodon15,50,Warrior,Mammoth,NPC
a_brontotherium15,48,Warrior,Brontotherium,NPC
a_brontotherium14,46,Warrior,Brontotherium,NPC
a_cragwyrm04,51,Warrior,Wurm,NPC
a_velium_hound37,49,Warrior,Ancient Wolf,NPC
a_velium_hound36,47,Warrior,Ancient Wolf,NPC
a_velium_hound35,50,Warrior,Ancient Wolf,NPC
a_gravid_drake04,45,Warrior,Drake,NPC
a_Velious_Drake01,45,Warrior,Drake,NPC
a_velium_hound34,49,Warrior,Ancient Wolf,NPC
a_velium_hound33,49,Warrior,Ancient Wolf,NPC
Gafala00,52,Warrior,Dragon,NPC
a_wyvern_hunter03,50,Warrior,Wyvern,NPC
a_wyvern_hunter02,50,Warrior,Wyvern,NPC
Pantrilla00,53,Warrior,Dragon,NPC
a_brontotherium13,48,Warrior,Brontotherium,NPC
a_brontotherium12,46,Warrior,Brontotherium,NPC
a_cragwyrm03,51,Warrior,Wurm,NPC
a_glacier_mastodon14,47,Warrior,Mammoth,NPC
Linbrak00,53,Warrior,Dragon,NPC
a_velium_hound30,51,Warrior,Ancient Wolf,NPC
Del_Sapara00,60,Warrior,Dragon,NPC
a_glacier_mastodon13,48,Warrior,Mammoth,NPC
a_velium_hound09,51,Warrior,Ancient Wolf,NPC
a_velium_hound29,47,Warrior,Ancient Wolf,NPC
a_gravid_drake05,47,Warrior,Drake,NPC
a_velium_hound28,49,Warrior,Ancient Wolf,NPC
a_glacier_mastodon26,50,Warrior,Mammoth,NPC
a_glacier_mastodon25,47,Warrior,Mammoth,NPC
a_gravid_drake03,49,Warrior,Drake,NPC
a_Veeshan_expedition_surveyor1,50,Warrior,Drake,NPC
a_gravid_drake02,49,Warrior,Drake,NPC
a_Veeshan_expedition_worker24,50,Warrior,Wyvern,NPC
a_gravid_drake01,45,Warrior,Drake,NPC
#Scout_Charisa00,55,Enchanter,Human,NPC
a_glacier_mastodon10,50,Warrior,Mammoth,NPC
a_glacier_mastodon09,47,Warrior,Mammoth,NPC
a_velium_hound27,48,Warrior,Ancient Wolf,NPC
a_velium_hound26,47,Warrior,Ancient Wolf,NPC
a_glacier_mastodon08,50,Warrior,Mammoth,NPC
a_glacier_mastodon07,50,Warrior,Mammoth,NPC
a_cragwyrm02,53,Warrior,Wurm,NPC
a_velium_hound25,49,Warrior,Ancient Wolf,NPC
a_velium_hound24,50,Warrior,Ancient Wolf,NPC
a_velium_hound22,48,Warrior,Ancient Wolf,NPC
a_glacier_mastodon06,48,Warrior,Mammoth,NPC
a_velium_hound21,49,Warrior,Ancient Wolf,NPC
an_ice_burrower02,61,Warrior,Leech,NPC
a_brontotherium11,46,Warrior,Brontotherium,NPC
a_velium_hound20,48,Warrior,Ancient Wolf,NPC
a_velium_hound18,49,Warrior,Ancient Wolf,NPC
a_glacier_mastodon05,47,Warrior,Mammoth,NPC
a_velium_hound17,48,Warrior,Ancient Wolf,NPC
a_velium_hound16,51,Warrior,Ancient Wolf,NPC
an_ice_burrower04,61,Warrior,Leech,NPC
a_brontotherium16,49,Warrior,Brontotherium,NPC
a_glacier_mastodon24,50,Warrior,Mammoth,NPC
a_wyvern_huntress00,50,Warrior,Wyvern,NPC
#Tantor00,66,Warrior,Mammoth,NPC
an_ice_burrower00,61,Warrior,Leech,NPC
a_glacier_mastodon04,50,Warrior,Mammoth,NPC
a_glacier_mastodon03,48,Warrior,Mammoth,NPC
#Mraaka00,66,Warrior,Wurm,NPC
a_velium_hound14,49,Warrior,Ancient Wolf,NPC
a_glacier_mastodon02,49,Warrior,Mammoth,NPC
a_glacier_mastodon01,49,Warrior,Mammoth,NPC
#Von00,57,Cleric,Dragon,NPC
a_gravid_drake00,49,Warrior,Drake,NPC
a_brontotherium10,46,Warrior,Brontotherium,NPC
a_velium_hound11,48,Warrior,Ancient Wolf,NPC
a_glacier_mastodon00,47,Warrior,Mammoth,NPC
a_velium_hound08,49,Warrior,Ancient Wolf,NPC
The_Dragon_Sage00,60,Wizard,High Elf,NPC
a_shipwrecked_pirate07,50,Rogue,Gnome,NPC
a_shipwrecked_pirate06,50,Rogue,Gnome,NPC
a_shipwrecked_pirate05,50,Rogue,Gnome,NPC
