Name,Level,Class,Race,Type
Guardian_of_Takish00,70,Warrior,Enchanted Armor,NPC
#_Tunare00,66,Druid,Tunare,NPC
Undogo_Digolo00,65,Ranger,Totem,NPC
keeper_of_the_glades00,65,Warrior,Puma,NPC
Prince_Thirneg00,65,Ranger,Yakkar,NPC
a_thifling_focuser03,65,Ranger,Brownie,NPC
a_thifling_focuser02,65,Ranger,Brownie,NPC
a_thifling_focuser01,65,Ranger,Brownie,NPC
a_thifling_focuser00,65,Ranger,Brownie,NPC
a_gleaming_sphere_of_light00,65,Warrior,Will-O-Wisp,NPC
a_guardian_power01,61,Warrior,Bear,NPC
a_guardian_power00,61,Warrior,Bear,NPC
a_serene_forest_spirit10,60,Wizard,Will-O-Wisp,NPC
a_serene_forest_spirit09,60,Wizard,Will-O-Wisp,NPC
a_serene_forest_spirit08,60,Wizard,Will-O-Wisp,NPC
a_serene_forest_spirit07,60,Wizard,Will-O-Wisp,NPC
a_serene_forest_spirit06,60,Enchanter,Will-O-Wisp,NPC
a_serene_forest_spirit05,60,Wizard,Will-O-Wisp,NPC
a_serene_forest_spirit04,60,Enchanter,Will-O-Wisp,NPC
a_serene_forest_spirit03,60,Enchanter,Will-O-Wisp,NPC
a_serene_forest_spirit02,60,Wizard,Will-O-Wisp,NPC
a_serene_forest_spirit01,60,Wizard,Will-O-Wisp,NPC
a_serene_forest_spirit00,60,Enchanter,Will-O-Wisp,NPC
an_entoling_essence_channeler0,60,Cleric,Totem,NPC
an_entoling_essence_conduit00,60,Monk,Totem,NPC
an_entoling_essence_channeler0,60,Cleric,Totem,NPC
an_entoling_essence_channeler0,60,Cleric,Totem,NPC
an_entoling_essence_channeler0,60,Cleric,Totem,NPC
an_entoling_essence_channeler0,60,Cleric,Totem,NPC
Fayl_Everstrong00,60,Druid,Treant,NPC
Rumbleroot00,60,Druid,Treant,NPC
Ail_the_Elder00,60,Druid,Treant,NPC
Treah_Greenroot00,60,Druid,Treant,NPC
Guardian_of_Tunare01,60,Warrior,Puma,NPC
Guardian_of_Tunare00,60,Warrior,Puma,NPC
