Name,Level,Class,Race,Type
Ashley00,55,Wizard,Sphinx,NPC
Ruttus00,50,Warrior,Rat,NPC
Raesar00,50,Warrior,Rat,NPC
Ratmlet00,50,Warrior,Rat,NPC
a_stalker02,54,Rogue,Man-Eating Plant,NPC
a_grumpy_tree04,1,Warrior,Dwarf,NPC
a_grumpy_tree08,1,Warrior,Dwarf,NPC
Guard_Roses00,48,Warrior,Skunk,NPC
ActorSpawner00,1,Warrior,Invisible Man,NPC
a_grumpy_tree06,1,Warrior,Dwarf,NPC
Mizer00,55,Wizard,Halfling,NPC
OneSix00,1,Warrior,Invisible Man,NPC
a_grumpy_tree01,1,Warrior,Dwarf,NPC
a_grumpy_tree00,1,Warrior,Dwarf,NPC
DirectorTwo00,1,Warrior,Invisible Man,NPC
DirectorOne00,1,Warrior,Invisible Man,NPC
EightySix00,1,Warrior,Invisible Man,NPC
Raisin00,55,Warrior,Skunk,NPC
Walnut00,55,Warrior,Skunk,NPC
Glonk02,53,Warrior,Gorilla,NPC
Brenn02,52,Warrior,Halfling,NPC
PASS00,1,Warrior,Invisible Man,NPC
Grenn02,52,Warrior,Halfling,NPC
NOT00,1,Warrior,Invisible Man,NPC
SHALL00,1,Warrior,Invisible Man,NPC
YOU00,1,Warrior,Invisible Man,NPC
Dabbis00,55,Warrior,Halfling,NPC
Doobis00,55,Warrior,Halfling,NPC
TwentyTwo00,1,Warrior,Invisible Man,NPC
Poddle_Dod03,39,Warrior,Fungusman,NPC
NintyNine00,1,Warrior,Invisible Man,NPC
Nine00,1,Warrior,Invisible Man,NPC
some_other_piece00,58,Warrior,Gorilla,NPC
Ferjeneror00,65,Wizard,Sphinx,NPC
Debbis_the_Fish00,60,Warrior,Skunk,NPC
a_petal_pusher03,53,Enchanter,Man-Eating Plant,NPC
Pinky_Ekkolofezznaboten_III00,55,Cleric,Reanimated Hand,NPC
Ratman_Rager07,47,Warrior,Ratman,NPC
a_Ratling03,45,Warrior,Ratman,NPC
a_Ratfink09,47,Warrior,Ratman,NPC
a_Ratling02,46,Warrior,Ratman,NPC
a_Ratfink08,48,Warrior,Ratman,NPC
Teriling04,49,Warrior,Ratman,NPC
Donk00,55,Warrior,Ogre,NPC
a_Ratfink07,49,Warrior,Ratman,NPC
Ratman_Rager06,47,Warrior,Ratman,NPC
Teriling03,49,Warrior,Ratman,NPC
a_Ratfink06,48,Warrior,Ratman,NPC
a_Ratfink05,48,Warrior,Ratman,NPC
